domain,split,metodo,fmax,fmax_star,wfmax,auprc,iauprc,smin,smin_reportado,fator_smin,cobertura,correcao
bp,test,DeepGraphGO,0.5529,0.5221,0.4892,0.5404,0.5789,20.11,20.11,1.0,"96,3%",
bp,test,SEGT-GO,0.5205,0.4822,0.4457,0.4282,0.5071,21.24,21.24,1.0,"96,3%",
bp,test,Mashup,0.4358,0.4186,0.3964,0.3482,0.3257,23.22,23.22,1.0,"63,6%",
bp,test,MELISSA,0.4194,0.4008,0.3772,0.3272,0.3117,23.42,23.42,1.0,"63,6%",
bp,test,DeepNF,0.3559,0.3114,0.2695,0.3415,0.3366,25.73167497924462,24.2,1.0632923545142405,—,smin x mediana(IC): o notebook do DeepNF normalizou o IC pela mediana
cc,test,DeepGraphGO,0.7374,0.7111,0.6035,0.7188,0.7859,9.67,9.67,1.0,"95,1%",
cc,test,SEGT-GO,0.7118,0.6807,0.5552,0.6324,0.7474,10.42,10.42,1.0,"95,1%",
cc,test,Mashup,0.5937,0.5744,0.4828,0.5127,0.503,11.06,11.06,1.0,"66,6%",
cc,test,MELISSA,0.5854,0.5651,0.4719,0.4978,0.4897,11.23,11.23,1.0,"66,6%",
cc,test,DeepNF,0.6249,0.5759,0.3651,0.5844,0.651,13.5178162875152,6.59,2.0512619556168743,—,smin x mediana(IC): o notebook do DeepNF normalizou o IC pela mediana
mf,test,DeepGraphGO,0.7698,0.7314,0.6896,0.7403,0.8041,5.67,5.67,1.0,"95,7%",
mf,test,SEGT-GO,0.734,0.6876,0.6412,0.5864,0.7515,6.37,6.37,1.0,"95,7%",
mf,test,Mashup,0.5452,0.4982,0.4422,0.4787,0.4729,8.3,8.3,1.0,"68,7%",
mf,test,MELISSA,0.5357,0.4865,0.4286,0.4643,0.4631,8.47,8.47,1.0,"68,7%",
mf,test,DeepNF,0.5843,0.487,0.39,0.5455,0.5349,9.358016445363527,6.25,1.4972826312581642,—,smin x mediana(IC): o notebook do DeepNF normalizou o IC pela mediana
bp,val,DeepGraphGO,0.5554,0.5229,0.4892,0.5412,0.5817,19.69,19.69,1.0,"96,3%",
bp,val,SEGT-GO,0.5227,0.4814,0.4454,0.4277,0.5099,20.79,20.79,1.0,"96,3%",
bp,val,Mashup,0.4317,0.414,0.39,0.3435,0.3244,22.75,22.75,1.0,"63,7%",
bp,val,MELISSA,0.415,0.3975,0.3732,0.3221,0.3087,22.8,22.8,1.0,"63,7%",
bp,val,DeepNF,0.3549,0.3098,0.2688,0.3403,0.3359,25.083066642990936,23.59,1.0632923545142405,—,smin x mediana(IC): o notebook do DeepNF normalizou o IC pela mediana
cc,val,DeepGraphGO,0.736,0.7087,0.5987,0.7147,0.784,9.63,9.63,1.0,"95,0%",
cc,val,SEGT-GO,0.7128,0.6811,0.5528,0.6288,0.7432,10.36,10.36,1.0,"95,0%",
cc,val,Mashup,0.586,0.5663,0.4716,0.5005,0.492,11.12,11.12,1.0,"65,4%",
cc,val,MELISSA,0.5765,0.5558,0.4599,0.4858,0.4802,11.28,11.28,1.0,"65,4%",
cc,val,DeepNF,0.6269,0.578,0.3627,0.5853,0.6526,13.39474057017819,6.53,2.0512619556168743,—,smin x mediana(IC): o notebook do DeepNF normalizou o IC pela mediana
mf,val,DeepGraphGO,0.7693,0.7306,0.693,0.7442,0.8076,5.71,5.71,1.0,"96,3%",
mf,val,SEGT-GO,0.7366,0.69,0.6461,0.5877,0.755,6.34,6.34,1.0,"96,3%",
mf,val,Mashup,0.5537,0.5077,0.4543,0.4913,0.4828,8.29,8.29,1.0,"69,8%",
mf,val,MELISSA,0.5429,0.495,0.4406,0.4791,0.4738,8.45,8.45,1.0,"69,8%",
mf,val,DeepNF,0.5831,0.4853,0.3912,0.5438,0.5336,9.402934924301272,6.28,1.4972826312581642,—,smin x mediana(IC): o notebook do DeepNF normalizou o IC pela mediana
