tag,split,fmax,fmax_star,wfmax,smin,auprc,iauprc,domain,method,gnn_type,classifier_type,arch,hybrid_fusion,dedup,hops,alpha_init,thr,mlp_hidden_dims,mlp_dropout,batch_size,lr,max_epochs,patience,seed,gnn_emb_path,graph_n_directed_edges,graph_w_min,graph_w_max,graph_w_mean,graph_n_isolated,best_epoch,epochs_run,best_val_loss,wall_seconds,peak_vram_mb,device,timestamp,sec_per_epoch
bp_fixed_mlp_h1_a05_thr010,test,0.6111953295655211,0.5809955468578738,0.5570015210184919,18.30456718106111,0.6048404333856479,0.6601671394552565,bp,fixed,,mlp,,,,1.0,0.5,0.1,"[1024, 512]",0.4,64,0.0001,300,20,1337,,,,,,,,,,,,,2026-05-15T18:19:05,
bp_fixed_mlp_h1_a05_thr010,val,0.6110127004028716,0.5795887185479066,0.5549115235858633,17.907539786107716,0.6023960873695936,0.6583140482255807,bp,fixed,,mlp,,,,1.0,0.5,0.1,"[1024, 512]",0.4,64,0.0001,300,20,1337,,,,,,,,,,,,,2026-05-15T18:19:05,
bp_gnn_gcn_mlp_thr010,test,0.6157702790143469,0.5864887184771391,0.5643181478825554,18.162252426786246,0.6093493179220695,0.6765806911731891,bp,gnn,gcn,mlp,,,,,,0.1,"[1024, 512]",0.4,32,0.0001,300,15,1337,,,,,,,,,,,,,2026-05-18T00:37:00,
bp_gnn_gcn_mlp_thr010,val,0.6091566141795766,0.5775105159690653,0.5531382317124915,17.8062838472021,0.5996558873386356,0.6675079304219103,bp,gnn,gcn,mlp,,,,,,0.1,"[1024, 512]",0.4,32,0.0001,300,15,1337,,,,,,,,,,,,,2026-05-18T00:37:00,
cc_fixed_mlp_h1_a06_thr010,test,0.7817955687293902,0.7578896867309193,0.6684735303438102,8.806288336282941,0.7446917647542707,0.8414244676663417,cc,fixed,,mlp,,,,1.0,0.6,0.1,"[1024, 512]",0.4,64,0.0001,300,20,1337,,,,,,,,,,,,,2026-05-19T02:48:54,
cc_fixed_mlp_h1_a06_thr010,val,0.7841221054912769,0.7611572508011551,0.671687417328815,8.678465878146797,0.7453078306533869,0.8472169071255762,cc,fixed,,mlp,,,,1.0,0.6,0.1,"[1024, 512]",0.4,64,0.0001,300,20,1337,,,,,,,,,,,,,2026-05-19T02:48:54,
cc_gnn_gcn_mlp_thr010,test,0.7795383434849612,0.7554267321503226,0.6609530942211739,8.669419402765586,0.7440680006045367,0.8428303957874003,cc,gnn,gcn,mlp,,,,,,0.1,"[1024, 512]",0.4,128,0.0001,300,15,1337,,,,,,,,,,,,,2026-05-18T12:23:16,
cc_gnn_gcn_mlp_thr010,val,0.778217272215382,0.7538911029134177,0.6577340423663581,8.655743864581284,0.7390935800045607,0.83673464131687,cc,gnn,gcn,mlp,,,,,,0.1,"[1024, 512]",0.4,128,0.0001,300,15,1337,,,,,,,,,,,,,2026-05-18T12:23:16,
mf_fixed_mlp_h0_a10_thr010,test,0.7979240388271164,0.7615680949726061,0.7262159767876122,5.285358267270962,0.666246296537011,0.8324933677735485,mf,fixed,,mlp,,,,0.0,1.0,0.1,"[1024, 512]",0.4,64,0.0001,300,20,1337,,,,,,,,,,,,,2026-05-19T03:42:00,
mf_fixed_mlp_h0_a10_thr010,val,0.799406051554865,0.7651574433749958,0.7345051350299205,5.303368905891752,0.666961708024748,0.8347560379443639,mf,fixed,,mlp,,,,0.0,1.0,0.1,"[1024, 512]",0.4,64,0.0001,300,20,1337,,,,,,,,,,,,,2026-05-19T03:42:00,
mf_gnn_gcn_mlp_thr010,test,0.7606594476993978,0.718529575444834,0.6794360326079951,6.071237204904423,0.6427760173865469,0.8110169936612612,mf,gnn,gcn,mlp,,,,,,0.1,"[1024, 512]",0.4,128,0.0001,300,15,1337,,,,,,,,,,,,,2026-05-18T21:14:10,
mf_gnn_gcn_mlp_thr010,val,0.7609111240208396,0.7190563415495494,0.6826125429031158,6.131267153187864,0.642023019433385,0.8108127300782909,mf,gnn,gcn,mlp,,,,,,0.1,"[1024, 512]",0.4,128,0.0001,300,15,1337,,,,,,,,,,,,,2026-05-18T21:14:10,
