ablation,domain,model,pooling,loss,split,tag,fmax,fmax_star,wfmax,smin,auprc,iauprc
A,bp,mlp,max,bce,test,bp_mlp_max_bce_seed1337,0.3824,0.334,0.3173,23.6703,0.3645,0.3592
A,bp,mlp,max,bce,val,bp_mlp_max_bce_seed1337,0.3786,0.3287,0.3119,23.21,0.3588,0.3536
A,cc,mlp,max,bce,test,cc_mlp_max_bce_seed1337,0.6142,0.5577,0.4242,11.8599,0.6367,0.6355
A,cc,mlp,max,bce,val,cc_mlp_max_bce_seed1337,0.614,0.5563,0.4201,11.7124,0.6356,0.6347
A,mf,mlp,max,bce,test,mf_mlp_max_bce_seed1337,0.5428,0.4153,0.3718,8.9039,0.5151,0.5146
A,mf,mlp,max,bce,val,mf_mlp_max_bce_seed1337,0.5445,0.4177,0.3785,8.9801,0.5138,0.5134
A+B,bp,mlp,max,protein,test,bp_mlp_max_protein_seed1337,0.4249,0.3811,0.352,23.9044,0.4233,0.4521
A+B,bp,mlp,max,protein,val,bp_mlp_max_protein_seed1337,0.4213,0.3759,0.3467,23.3244,0.4175,0.4476
A+B,cc,mlp,max,protein,test,cc_mlp_max_protein_seed1337,0.6754,0.6326,0.4667,11.4602,0.6689,0.7285
A+B,cc,mlp,max,protein,val,cc_mlp_max_protein_seed1337,0.6748,0.631,0.4608,11.4043,0.6674,0.7271
A+B,mf,mlp,max,protein,test,mf_mlp_max_protein_seed1337,0.6141,0.5309,0.4541,8.6531,0.529,0.6356
A+B,mf,mlp,max,protein,val,mf_mlp_max_protein_seed1337,0.6212,0.5401,0.4672,8.6201,0.5336,0.6426
B,bp,cnn1d,avg,protein,test,bp_cnn1d_avg_protein_seed1337,0.4104,0.3729,0.3404,24.3105,0.4279,0.4417
B,bp,cnn1d,avg,protein,val,bp_cnn1d_avg_protein_seed1337,0.4066,0.3684,0.3333,23.785,0.4231,0.4378
B,bp,cnn1d,max,protein,test,bp_cnn1d_max_protein_seed1337,0.409,0.3658,0.3351,24.1884,0.3635,0.4327
B,bp,cnn1d,max,protein,val,bp_cnn1d_max_protein_seed1337,0.4058,0.3588,0.3289,23.7835,0.3564,0.4276
B,bp,cnn1d,raw,protein,test,bp_cnn1d_raw_protein_seed1337,0.3985,0.3488,0.3201,25.0647,0.3377,0.4098
B,bp,cnn1d,raw,protein,val,bp_cnn1d_raw_protein_seed1337,0.3943,0.3434,0.3147,24.6366,0.3311,0.4045
B,bp,mlp,avg,protein,test,bp_mlp_avg_protein_seed1337,0.4011,0.3507,0.3233,25.3614,0.3825,0.4152
B,bp,mlp,avg,protein,val,bp_mlp_avg_protein_seed1337,0.398,0.3459,0.3188,24.8692,0.377,0.4116
B,bp,mlp,raw,protein,test,bp_mlp_raw_protein_seed1337,0.4625,0.3986,0.373,23.6756,0.4557,0.4737
B,bp,mlp,raw,protein,val,bp_mlp_raw_protein_seed1337,0.4581,0.3897,0.3637,23.1436,0.4481,0.4675
